"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
2009-10-01,"00:00:00",0.224,"0.088","245.190","1.000","0.000","0.000","1.000"
2009-10-01,"00:01:00",0.198,"0.046","245.120","0.800","0.000","0.000","0.000"
2009-10-01,"00:02:00",0.15,"0.000","244.540","0.600","0.000","0.000","1.000"
2009-10-01,"00:03:00",0.15,"0.000","243.680","0.600","0.000","0.000","1.000"
2009-10-01,"00:04:00",0.146,"0.000","243.450","0.600","0.000","0.000","0.000"
2009-10-01,"00:05:00",0.148,"0.000","243.920","0.600","0.000","0.000","1.000"
2009-10-01,"00:06:00",0.148,"0.000","244.140","0.600","0.000","0.000","1.000"
2009-10-01,"00:07:00",0.148,"0.000","243.820","0.600","0.000","0.000","0.000"
2009-10-01,"00:08:00",0.148,"0.000","244.160","0.600","0.000","0.000","1.000"
2009-10-01,"00:09:00",0.152,"0.000","244.470","0.600","0.000","0.000","1.000"
2009-10-01,"00:10:00",0.148,"0.000","244.360","0.600","0.000","0.000","0.000"
2009-10-01,"00:11:00",0.242,"0.080","243.880","1.200","0.000","0.000","1.000"
2009-10-01,"00:12:00",0.248,"0.104","244.120","1.000","0.000","1.000","1.000"
2009-10-01,"00:13:00",0.246,"0.104","244.520","1.000","0.000","2.000","0.000"
2009-10-01,"00:14:00",0.246,"0.104","244.480","1.000","0.000","1.000","1.000"
2009-10-01,"00:15:00",0.266,"0.116","244.290","1.200","0.000","2.000","1.000"
2009-10-01,"00:16:00",0.354,"0.242","244.080","1.600","0.000","1.000","0.000"
2009-10-01,"00:17:00",0.35,"0.242","244.080","1.600","0.000","2.000","1.000"
2009-10-01,"00:18:00",0.346,"0.242","244.170","1.600","0.000","1.000","1.000"
2009-10-01,"00:19:00",0.342,"0.242","244.360","1.600","0.000","2.000","0.000"
2009-10-01,"00:20:00",0.338,"0.242","244.310","1.600","0.000","1.000","1.000"
2009-10-01,"00:21:00",0.318,"0.240","243.980","1.600","0.000","2.000","1.000"
2009-10-01,"00:22:00",0.316,"0.238","243.680","1.600","0.000","1.000","0.000"
2009-10-01,"00:23:00",0.314,"0.240","243.790","1.600","0.000","1.000","1.000"
2009-10-01,"00:24:00",0.312,"0.240","244.180","1.600","0.000","2.000","1.000"
2009-10-01,"00:25:00",0.31,"0.240","244.130","1.600","0.000","1.000","0.000"
2009-10-01,"00:26:00",0.308,"0.240","244.060","1.600","0.000","1.000","1.000"
2009-10-01,"00:27:00",0.308,"0.240","244.170","1.600","0.000","2.000","1.000"
2009-10-01,"00:28:00",0.306,"0.242","244.350","1.600","0.000","1.000","0.000"
2009-10-01,"00:29:00",0.306,"0.240","244.030","1.600","0.000","1.000","1.000"
2009-10-01,"00:30:00",0.304,"0.242","244.450","1.600","0.000","2.000","1.000"
2009-10-01,"00:31:00",0.304,"0.242","244.810","1.600","0.000","1.000","0.000"
2009-10-01,"00:32:00",0.302,"0.240","244.260","1.600","0.000","1.000","1.000"
2009-10-01,"00:33:00",0.302,"0.242","244.340","1.600","0.000","1.000","1.000"
2009-10-01,"00:34:00",0.302,"0.240","244.150","1.600","0.000","2.000","0.000"
2009-10-01,"00:35:00",0.37,"0.314","244.210","2.000","0.000","1.000","1.000"
2009-10-01,"00:36:00",0.338,"0.290","244.670","1.800","0.000","1.000","1.000"
